SNR(dB),深度学习模型,FastICA,SOBI
10,0.06356340893707589,0.05695708279640733,0.056144600053265194
15,0.06516425385420191,0.06140753408270396,0.06123764415247814
20,0.06285831626729875,0.0608970826877048,0.06197762400230197
25,0.0639063714472471,0.06556321468075862,0.061358999179537264
30,0.06381772174079063,0.0597160102506736,0.06211045072246264
