算法,源信号序号,MSE,SDR(dB),相关系数,全局拒绝水平(GRL)
deep,1,0.002254327574050261,29.009453839061276,0.9998767524325273,0.0002712756638117394
deep,2,0.002242233182966443,29.079522993824735,0.9998879216725396,0.0002712756638117394
deep,3,0.0021054427109487516,29.821425967480867,0.9999181862052867,0.0002712756638117394
ica,1,0.11855882970942214,11.68358390317788,0.9398669181009722,0.7288816458343435
ica,2,0.10311071126260092,12.934293448186663,0.9483717438727706,0.7288816458343435
ica,3,0.10417876920056149,11.43927322717813,0.9488527443209793,0.7288816458343435
sobi,1,0.2967367042716818,6.731157744876636,0.8318899638825332,2.99724878843047
sobi,2,0.28176732731207654,6.338429414922396,0.8452759105024957,2.99724878843047
sobi,3,0.28912142541204017,6.3236588653312,0.840435593800469,2.99724878843047
